combinacion;num1;num2;num3;num4;num5
30182;3;0;1;8;2
30218;3;0;2;1;8
30281;3;0;2;8;1
30812;3;0;8;1;2
30821;3;0;8;2;1
31028;3;1;0;2;8
31082;3;1;0;8;2
31208;3;1;2;0;8
31280;3;1;2;8;0
31802;3;1;8;0;2
31820;3;1;8;2;0
32018;3;2;0;1;8
32081;3;2;0;8;1
32108;3;2;1;0;8
32180;3;2;1;8;0
32801;3;2;8;0;1
32810;3;2;8;1;0
38012;3;8;0;1;2
38021;3;8;0;2;1
38102;3;8;1;0;2
38120;3;8;1;2;0
38201;3;8;2;0;1
38210;3;8;2;1;0
80123;8;0;1;2;3
80132;8;0;1;3;2
80213;8;0;2;1;3
80231;8;0;2;3;1
80312;8;0;3;1;2
80321;8;0;3;2;1
81023;8;1;0;2;3
81032;8;1;0;3;2
81203;8;1;2;0;3
81230;8;1;2;3;0
81302;8;1;3;0;2
81320;8;1;3;2;0
82013;8;2;0;1;3
82031;8;2;0;3;1
82103;8;2;1;0;3
82130;8;2;1;3;0
82301;8;2;3;0;1
82310;8;2;3;1;0
83012;8;3;0;1;2
83021;8;3;0;2;1
83102;8;3;1;0;2
83120;8;3;1;2;0
83201;8;3;2;0;1
83210;8;3;2;1;0
01239;0;1;2;3;9
01293;0;1;2;9;3
01329;0;1;3;2;9
01392;0;1;3;9;2
01923;0;1;9;2;3
01932;0;1;9;3;2
02139;0;2;1;3;9
02193;0;2;1;9;3
02319;0;2;3;1;9
02391;0;2;3;9;1
02913;0;2;9;1;3
02931;0;2;9;3;1
03129;0;3;1;2;9
03192;0;3;1;9;2
03219;0;3;2;1;9
03291;0;3;2;9;1
03912;0;3;9;1;2
03921;0;3;9;2;1
09123;0;9;1;2;3
09132;0;9;1;3;2
09213;0;9;2;1;3
09231;0;9;2;3;1
09312;0;9;3;1;2
09321;0;9;3;2;1
10239;1;0;2;3;9
10293;1;0;2;9;3
10329;1;0;3;2;9
10392;1;0;3;9;2
10923;1;0;9;2;3
10932;1;0;9;3;2
12039;1;2;0;3;9
12093;1;2;0;9;3
12309;1;2;3;0;9
12390;1;2;3;9;0
12903;1;2;9;0;3
12930;1;2;9;3;0
13029;1;3;0;2;9
13092;1;3;0;9;2
13209;1;3;2;0;9
13290;1;3;2;9;0
13902;1;3;9;0;2
13920;1;3;9;2;0
19023;1;9;0;2;3
19032;1;9;0;3;2
19203;1;9;2;0;3
19230;1;9;2;3;0
19302;1;9;3;0;2
19320;1;9;3;2;0
20139;2;0;1;3;9
20193;2;0;1;9;3
20319;2;0;3;1;9
20391;2;0;3;9;1
20913;2;0;9;1;3
20931;2;0;9;3;1
21039;2;1;0;3;9
21093;2;1;0;9;3
21309;2;1;3;0;9
21390;2;1;3;9;0
21903;2;1;9;0;3
21930;2;1;9;3;0
23019;2;3;0;1;9
23091;2;3;0;9;1
23109;2;3;1;0;9
23190;2;3;1;9;0
23901;2;3;9;0;1
23910;2;3;9;1;0
29013;2;9;0;1;3
29031;2;9;0;3;1
29103;2;9;1;0;3
29130;2;9;1;3;0
29301;2;9;3;0;1
29310;2;9;3;1;0
30129;3;0;1;2;9
30192;3;0;1;9;2
30219;3;0;2;1;9
30291;3;0;2;9;1
30912;3;0;9;1;2
30921;3;0;9;2;1
31029;3;1;0;2;9
31092;3;1;0;9;2
31209;3;1;2;0;9
31290;3;1;2;9;0
31902;3;1;9;0;2
31920;3;1;9;2;0
32019;3;2;0;1;9
32091;3;2;0;9;1
32109;3;2;1;0;9
32190;3;2;1;9;0
32901;3;2;9;0;1
32910;3;2;9;1;0
39012;3;9;0;1;2
39021;3;9;0;2;1
39102;3;9;1;0;2
39120;3;9;1;2;0
39201;3;9;2;0;1
39210;3;9;2;1;0
90123;9;0;1;2;3
90132;9;0;1;3;2
90213;9;0;2;1;3
90231;9;0;2;3;1
90312;9;0;3;1;2
90321;9;0;3;2;1
91023;9;1;0;2;3
91032;9;1;0;3;2
91203;9;1;2;0;3
91230;9;1;2;3;0
91302;9;1;3;0;2
91320;9;1;3;2;0
92013;9;2;0;1;3
92031;9;2;0;3;1
92103;9;2;1;0;3
92130;9;2;1;3;0
92301;9;2;3;0;1
92310;9;2;3;1;0
93012;9;3;0;1;2
93021;9;3;0;2;1
93102;9;3;1;0;2
93120;9;3;1;2;0
93201;9;3;2;0;1
93210;9;3;2;1;0
01245;0;1;2;4;5
01254;0;1;2;5;4
01425;0;1;4;2;5
01452;0;1;4;5;2
01524;0;1;5;2;4
01542;0;1;5;4;2
02145;0;2;1;4;5
02154;0;2;1;5;4
02415;0;2;4;1;5
02451;0;2;4;5;1
02514;0;2;5;1;4
02541;0;2;5;4;1
04125;0;4;1;2;5
04152;0;4;1;5;2
04215;0;4;2;1;5
04251;0;4;2;5;1
04512;0;4;5;1;2
04521;0;4;5;2;1
05124;0;5;1;2;4
05142;0;5;1;4;2
05214;0;5;2;1;4
05241;0;5;2;4;1
05412;0;5;4;1;2
05421;0;5;4;2;1
10245;1;0;2;4;5
10254;1;0;2;5;4
10425;1;0;4;2;5
10452;1;0;4;5;2
10524;1;0;5;2;4
10542;1;0;5;4;2
12045;1;2;0;4;5
12054;1;2;0;5;4
