combinacion;num1;num2;num3;num4
0632;0;6;3;2
2036;2;0;3;6
2063;2;0;6;3
2306;2;3;0;6
2360;2;3;6;0
2603;2;6;0;3
2630;2;6;3;0
3026;3;0;2;6
3062;3;0;6;2
3206;3;2;0;6
3260;3;2;6;0
3602;3;6;0;2
3620;3;6;2;0
6023;6;0;2;3
6032;6;0;3;2
6203;6;2;0;3
6230;6;2;3;0
6302;6;3;0;2
6320;6;3;2;0
0237;0;2;3;7
0273;0;2;7;3
0327;0;3;2;7
0372;0;3;7;2
0723;0;7;2;3
0732;0;7;3;2
2037;2;0;3;7
2073;2;0;7;3
2307;2;3;0;7
2370;2;3;7;0
2703;2;7;0;3
2730;2;7;3;0
3027;3;0;2;7
3072;3;0;7;2
3207;3;2;0;7
3270;3;2;7;0
3702;3;7;0;2
3720;3;7;2;0
7023;7;0;2;3
7032;7;0;3;2
7203;7;2;0;3
7230;7;2;3;0
7302;7;3;0;2
7320;7;3;2;0
0238;0;2;3;8
0283;0;2;8;3
0328;0;3;2;8
0382;0;3;8;2
0823;0;8;2;3
0832;0;8;3;2
2038;2;0;3;8
2083;2;0;8;3
2308;2;3;0;8
2380;2;3;8;0
2803;2;8;0;3
2830;2;8;3;0
3028;3;0;2;8
3082;3;0;8;2
3208;3;2;0;8
3280;3;2;8;0
3802;3;8;0;2
3820;3;8;2;0
8023;8;0;2;3
8032;8;0;3;2
8203;8;2;0;3
8230;8;2;3;0
8302;8;3;0;2
8320;8;3;2;0
0239;0;2;3;9
0293;0;2;9;3
0329;0;3;2;9
0392;0;3;9;2
0923;0;9;2;3
0932;0;9;3;2
2039;2;0;3;9
2093;2;0;9;3
2309;2;3;0;9
2390;2;3;9;0
2903;2;9;0;3
2930;2;9;3;0
3029;3;0;2;9
3092;3;0;9;2
3209;3;2;0;9
3290;3;2;9;0
3902;3;9;0;2
3920;3;9;2;0
9023;9;0;2;3
9032;9;0;3;2
9203;9;2;0;3
9230;9;2;3;0
9302;9;3;0;2
9320;9;3;2;0
0245;0;2;4;5
0254;0;2;5;4
0425;0;4;2;5
0452;0;4;5;2
0524;0;5;2;4
0542;0;5;4;2
2045;2;0;4;5
2054;2;0;5;4
2405;2;4;0;5
2450;2;4;5;0
2504;2;5;0;4
2540;2;5;4;0
4025;4;0;2;5
4052;4;0;5;2
4205;4;2;0;5
4250;4;2;5;0
4502;4;5;0;2
4520;4;5;2;0
5024;5;0;2;4
5042;5;0;4;2
5204;5;2;0;4
5240;5;2;4;0
5402;5;4;0;2
5420;5;4;2;0
0246;0;2;4;6
0264;0;2;6;4
0426;0;4;2;6
0462;0;4;6;2
0624;0;6;2;4
0642;0;6;4;2
2046;2;0;4;6
2064;2;0;6;4
2406;2;4;0;6
2460;2;4;6;0
2604;2;6;0;4
2640;2;6;4;0
4026;4;0;2;6
4062;4;0;6;2
4206;4;2;0;6
4260;4;2;6;0
4602;4;6;0;2
4620;4;6;2;0
6024;6;0;2;4
6042;6;0;4;2
6204;6;2;0;4
6240;6;2;4;0
6402;6;4;0;2
6420;6;4;2;0
0247;0;2;4;7
0274;0;2;7;4
0427;0;4;2;7
0472;0;4;7;2
0724;0;7;2;4
0742;0;7;4;2
2047;2;0;4;7
2074;2;0;7;4
2407;2;4;0;7
2470;2;4;7;0
2704;2;7;0;4
2740;2;7;4;0
4027;4;0;2;7
4072;4;0;7;2
4207;4;2;0;7
4270;4;2;7;0
4702;4;7;0;2
4720;4;7;2;0
7024;7;0;2;4
7042;7;0;4;2
7204;7;2;0;4
7240;7;2;4;0
7402;7;4;0;2
7420;7;4;2;0
0248;0;2;4;8
0284;0;2;8;4
0428;0;4;2;8
0482;0;4;8;2
0824;0;8;2;4
0842;0;8;4;2
2048;2;0;4;8
2084;2;0;8;4
2408;2;4;0;8
2480;2;4;8;0
2804;2;8;0;4
2840;2;8;4;0
4028;4;0;2;8
4082;4;0;8;2
4208;4;2;0;8
4280;4;2;8;0
4802;4;8;0;2
4820;4;8;2;0
8024;8;0;2;4
8042;8;0;4;2
8204;8;2;0;4
8240;8;2;4;0
8402;8;4;0;2
8420;8;4;2;0
0249;0;2;4;9
0294;0;2;9;4
0429;0;4;2;9
0492;0;4;9;2
0924;0;9;2;4
0942;0;9;4;2
2049;2;0;4;9
2094;2;0;9;4
2409;2;4;0;9
2490;2;4;9;0
2904;2;9;0;4
2940;2;9;4;0
4029;4;0;2;9
4092;4;0;9;2
4209;4;2;0;9
4290;4;2;9;0
4902;4;9;0;2
4920;4;9;2;0
9024;9;0;2;4
9042;9;0;4;2
9204;9;2;0;4
9240;9;2;4;0
9402;9;4;0;2
9420;9;4;2;0
0256;0;2;5;6
0265;0;2;6;5
0526;0;5;2;6
0562;0;5;6;2
0625;0;6;2;5
0652;0;6;5;2
2056;2;0;5;6
2065;2;0;6;5
2506;2;5;0;6
2560;2;5;6;0
2605;2;6;0;5
2650;2;6;5;0
5026;5;0;2;6
5062;5;0;6;2
5206;5;2;0;6
5260;5;2;6;0
5602;5;6;0;2
5620;5;6;2;0
6025;6;0;2;5
6052;6;0;5;2
6205;6;2;0;5
6250;6;2;5;0
6502;6;5;0;2
6520;6;5;2;0
0257;0;2;5;7
0275;0;2;7;5
0527;0;5;2;7
0572;0;5;7;2
0725;0;7;2;5
0752;0;7;5;2
2057;2;0;5;7
2075;2;0;7;5
2507;2;5;0;7
2570;2;5;7;0
2705;2;7;0;5
2750;2;7;5;0
5027;5;0;2;7
5072;5;0;7;2
5207;5;2;0;7
5270;5;2;7;0
5702;5;7;0;2
5720;5;7;2;0
7025;7;0;2;5
7052;7;0;5;2
7205;7;2;0;5
7250;7;2;5;0
7502;7;5;0;2
7520;7;5;2;0
0258;0;2;5;8
0285;0;2;8;5
0528;0;5;2;8
0582;0;5;8;2
0825;0;8;2;5
0852;0;8;5;2
2058;2;0;5;8
2085;2;0;8;5
2508;2;5;0;8
2580;2;5;8;0
2805;2;8;0;5
2850;2;8;5;0
5028;5;0;2;8
5082;5;0;8;2
5208;5;2;0;8
5280;5;2;8;0
5802;5;8;0;2
5820;5;8;2;0
8025;8;0;2;5
8052;8;0;5;2
8205;8;2;0;5
8250;8;2;5;0
8502;8;5;0;2
